All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer],M&A Closed Date
11/19/2018,"Daishin Balance No.5 Special Purpose Acquisition Co., Ltd.",-,Merger/Acquisition,Closed,-,"Zinitix Co.,Ltd (KOSDAQ:A303030)",SV Investment Corporation (KOSDAQ:A289080); SV Partners Co. Ltd.,IQTR591763752,Blank Checks,Acquired,07/16/2019
11/15/2018,Anchor Capital Corporation,-,Merger/Acquisition,Closed,-,Spyder Cannabis Inc. (TSXV:SPDR),-,IQTR591430945,Blank Checks (Primary),Acquired,05/31/2019
11/13/2018,Apolo II Acquisition Corp.,-,Merger/Acquisition,Closed,-,Terrace Global Inc. (TSXV:TRCE),-,IQTR591150631,Blank Checks (Primary),Acquired,11/14/2019
11/13/2018,Platinum Eagle Acquisition Corp.,-,Merger/Acquisition,Closed,-,Target Hospitality Corp. (NasdaqCM:TH),-,IQTR591215557,Blank Checks (Primary),Acquired,03/15/2019
11/09/2018,Predator Blockchain Capital Corp.,-,Merger/Acquisition,Closed,-,Highwood Oil Company Ltd. (TSXV:HOCL),-,IQTR590774201,Blank Checks (Primary),Acquired,01/23/2019
11/08/2018,Two Owls Ventures Corp.,-,Merger/Acquisition,Closed,-,Minerva Intelligence Inc. (TSXV:MVAI),-,IQTR590687815,Blank Checks (Primary),Acquired,05/23/2019
11/08/2018,Union Acquisition Corp.,-,Merger/Acquisition,Closed,-,Bioceres Crop Solutions Corp. (AMEX:BIOX),"AQR Capital Management, LLC; Weiss Asset Management LP; Boothbay Fund Management, LLC",IQTR590731200,Blank Checks (Primary),Acquired,03/14/2019
11/06/2018,CM Seven Star Acquisition Corporation,-,Merger/Acquisition,Closed,-,Kaixin Auto Holdings (NasdaqCM:KXIN),-,IQTR590438902,Blank Checks (Primary),Acquired,04/30/2019
11/05/2018,Anchor Capital Corporation,-,Merger/Acquisition,Closed, 0.034 ,-,-,IQTR590298598,Blank Checks (Primary),Acquired,10/31/2018
11/01/2018,Huale Acoustics Limited,-,Merger/Acquisition,Closed,-,-,-,IQTR589956745,Blank Checks (Primary),Acquired,09/10/2018
11/01/2018,Haymaker Acquisition Corp.,-,Merger/Acquisition,Closed,-,OneSpaWorld Holdings Limited (NasdaqCM:OSW),-,IQTR591193622,Blank Checks,Acquired,03/19/2019
10/17/2018,Cannabis Strategies Acquisition Corp.,-,Merger/Acquisition,Closed,-,Ayr Strategies Inc. (CNSX:AYR.A),-,IQTR587164906,Blank Checks (Primary),Acquired,05/24/2019
10/17/2018,Canaccord Genuity Growth Corp.,-,Merger/Acquisition,Closed,-,Columbia Care Inc. (CNSX:CCHW),-,IQTR593709612,Blank Checks (Primary),Acquired,04/26/2019
10/11/2018,MTech Acquisition Corp.,-,Merger/Acquisition,Closed,-,Akerna Corp. (NasdaqCM:KERN),-,IQTR586313151,Blank Checks (Primary),Acquired,06/17/2019
10/03/2018,22 Capital Corp.,-,Merger/Acquisition,Closed,-,Trichome Financial Corp. (CNSX:TFC),-,IQTR585129350,Blank Checks (Primary),Acquired,10/04/2019
09/26/2018,DataMiners Capital Corp.,-,Merger/Acquisition,Closed,-,Zoomd Technologies Ltd. (TSXV:ZOMD),-,IQTR583404604,Blank Checks (Primary),Acquired,08/28/2019
09/18/2018,Mirae Asset No.5 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,ZUM Internet Corp. (KOSDAQ:A239340),-,IQTR581578183,Blank Checks (Primary),Acquired,05/22/2019
09/13/2018,Cinaport Acquisition Corp. II,-,Merger/Acquisition,Closed,-,Fire & Flower Holdings Corp. (TSX:FAF),-,IQTR580998367,Blank Checks (Primary),Acquired,02/13/2019
09/12/2018,Bison Capital Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Xynomic Pharmaceuticals Holdings, Inc. (OTCPK:XYNO)",-,IQTR580934459,Blank Checks (Primary),Acquired,05/15/2019
09/04/2018,"Draper Oakwood Technology Acquisition, Inc.",-,Merger/Acquisition,Closed,-,Reebonz Holding Limited (OTCPK:RBZH.F),"Basso Capital Management, L.P.; Polar Asset Management Partners Inc.; HGC Investment Management Inc.; Draper Oakwood Investments, LLC",IQTR579976149,Blank Checks (Primary),Acquired,12/19/2018
08/17/2018,Avista Healthcare Public Acquisition Corp.,-,Merger/Acquisition,Closed,-,Organogenesis Holdings Inc. (NasdaqCM:ORGO),-,IQTR577941151,Blank Checks (Primary),Acquired,12/10/2018
08/09/2018,Commerce Acquisition Corp.,-,Merger/Acquisition,Closed,-,Mimi's Rock Corp. (TSXV:MIMI),-,IQTR576964533,Blank Checks (Primary),Acquired,05/27/2019
08/08/2018,Kayne Anderson Acquisition Corp.,-,Merger/Acquisition,Closed,-,Altus Midstream Company (NasdaqGM:ALTM),-,IQTR576795139,Blank Checks (Primary),Acquired,11/12/2018
08/03/2018,ASB Capital Inc.,-,Merger/Acquisition,Closed,-,Else Nutrition Holdings Inc. (TSXV:BABY),-,IQTR576445257,Blank Checks (Primary),Acquired,06/12/2019
08/01/2018,CanadaBis Capital Inc.,-,Merger/Acquisition,Closed,-,CanadaBis Capital Inc. (TSXV:CANB),-,IQTR576053552,Blank Checks (Primary),Acquired,04/26/2019
07/26/2018,Academy Explorations Limited,-,Merger/Acquisition,Closed,-,Dixie Brands Inc.,Shimcity Inc.,IQTR575438590,Blank Checks (Primary),Acquired,11/27/2018
07/23/2018,Sears Oil and Gas Corporation,-,Merger/Acquisition,Closed,-,"Spirits Time International, Inc. (OTCPK:SRSG)",-,IQTR574929607,Blank Checks (Primary),Acquired,09/28/2018
07/18/2018,China Foods Holdings Ltd.,-,Merger/Acquisition,Closed, 0.41 ,"HY (HK) Financial Investments Co., Ltd",-,IQTR574500401,Blank Checks (Primary),Acquired,07/13/2018
07/15/2018,Matlin & Partners Acquisition Corporation,-,Merger/Acquisition,Closed,-,"U.S. Well Services, Inc. (NasdaqCM:USWS)",-,IQTR574165403,Blank Checks (Primary),Acquired,11/09/2018
07/04/2018,Steamsand Capital Corp.,-,Merger/Acquisition,Closed,-,VOTI Detection Inc. (TSXV:VOTI),-,IQTR573029358,Blank Checks (Primary),Acquired,11/13/2018
07/02/2018,Kyobo Bnk Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"Namu Tech Co.,Ltd. (KOSDAQ:A242040)","KB Securities Co., Ltd., Investment Arm",IQTR573395516,Blank Checks (Primary),Acquired,11/28/2018
06/28/2018,"B4MC Gold Mines, Inc.",-,Merger/Acquisition,Closed,-,"RocketFuel Blockchain, Inc. (OTCPK:RKFL)",-,IQTR572337483,Blank Checks (Primary),Acquired,06/27/2018
06/26/2018,Hennessy Capital Acquisition Corp. III,-,Merger/Acquisition,Closed,-,NRC Group Holdings Corp.,-,IQTR571985187,Blank Checks (Primary),Acquired,10/17/2018
06/26/2018,Academy Explorations Limited,-,Merger/Acquisition,Closed, 0.301 ,-,Estate Of Rae Appleby,IQTR572029256,Blank Checks (Primary),Acquired,06/25/2018
06/21/2018,"Gores Holdings II, Inc.",-,Merger/Acquisition,Closed,-,Verra Mobility Corporation (NasdaqCM:VRRM),-,IQTR571522879,Blank Checks (Primary),Acquired,10/17/2018
06/11/2018,Canaccord Genuity Acquisition Corp.,-,Merger/Acquisition,Closed,-,Spark Power Group Inc. (TSX:SPG),-,IQTR570463790,Blank Checks (Primary),Acquired,08/31/2018
06/11/2018,Foreshore Exploration Partners Corp.,-,Merger/Acquisition,Closed,-,POSaBIT Systems Corporation (CNSX:PBIT),-,IQTR570504480,Blank Checks (Primary),Acquired,04/03/2019
06/08/2018,"Goldenbridge No.4 Special Purpose Acquisition Co., Ltd.",-,Merger/Acquisition,Closed,-,"N2Tech Co., Ltd (KOSDAQ:A227950)","D&J Group Co.,Ltd.",IQTR570714639,Blank Checks,Acquired,10/29/2018
06/07/2018,Innova Italy 1 S.p.A.,-,Merger/Acquisition,Closed,-,Fine Foods & Pharmaceuticals N.T.M. S.p.A. (BIT:FF),-,IQTR571586578,Blank Checks (Primary),Acquired,10/01/2018
06/04/2018,Osprey Energy Acquisition Corp.,-,Merger/Acquisition,Closed,-,Falcon Minerals Corporation (NasdaqCM:FLMN),-,IQTR569635418,Blank Checks (Primary),Acquired,08/23/2018
05/30/2018,Derriston Capital Plc,-,Merger/Acquisition,Closed,-,S4 Capital plc (LSE:SFOR),-,IQTR568612126,Blank Checks (Primary),Acquired,09/28/2018
05/30/2018,Aim2 Ventures Inc.,-,Merger/Acquisition,Closed,-,Canopy Rivers Inc. (TSX:RIV),-,IQTR568762458,Blank Checks (Primary),Acquired,09/17/2018
05/29/2018,Norwick Capital Corp.,-,Merger/Acquisition,Closed,-,Converge Technology Solutions Corp. (TSXV:CTS),-,IQTR568468594,Blank Checks (Primary),Acquired,11/07/2018
05/29/2018,Hana Financial Seventh Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"HFR, Inc. (KOSDAQ:A230240)","KB Securities Co., Ltd.",IQTR569819605,Blank Checks (Primary),Acquired,11/02/2018
05/24/2018,HMCIB No.3 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"Bonne Co., Ltd. (KOSDAQ:A226340)","KB Securities Co., Ltd.",IQTR567498452,Blank Checks (Primary),Acquired,10/18/2018
05/16/2018,"Landcadia Holdings, Inc.",-,Merger/Acquisition,Closed,-,Waitr Holdings Inc. (NasdaqGS:WTRH),"Advent International Corporation; Jefferies Financial Group Inc. (NYSE:JEF); Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Alyeska Investment Group, L.P.; Arrowgrass Capital Partners (US) LP; Sunley House Capital Management Llc; Fertitta Entertainment, Inc.",IQTR565559433,Blank Checks (Primary),Acquired,11/15/2018
05/15/2018,"American Retail Group, Inc.",-,Merger/Acquisition,Closed,-,"American Retail Group, Inc. (OTCPK:ARGB)",-,IQTR565076540,Blank Checks (Primary),Acquired,05/14/2018
05/15/2018,POCML 4 Inc.,-,Merger/Acquisition,Closed,-,MediPharm Labs Corp. (TSX:LABS),-,IQTR565278905,Blank Checks (Primary),Acquired,10/01/2018
05/07/2018,Anutra Corporation Prior to Merger with Anutra Super Grain LLC,-,Merger/Acquisition,Closed,-,Anutra Corporation,-,IQTR562952615,Blank Checks (Primary),Acquired,05/04/2018
05/02/2018,Kanzen Capital Corp.,-,Merger/Acquisition,Closed,-,Geyser Brands Inc. (TSXV:GYSR),Barry D. Mcknight Inc.; Hiebert Net Inc; 1096210 B.C. Ltd,IQTR561716216,Blank Checks (Primary),Acquired,12/20/2018
04/12/2018,Duckworth Capital Corp.,-,Merger/Acquisition,Closed,-,GoldSpot Discoveries Corp. (TSXV:SPOT),-,IQTR559062599,Blank Checks (Primary),Acquired,02/08/2019
04/11/2018,MJ Opportunity Corp.,-,Merger/Acquisition,Closed,-,Lift & Co. Corp. (TSXV:LIFT),-,IQTR558895199,Blank Checks (Primary),Acquired,09/13/2018
04/06/2018,Blue Bay Capital Inc.,-,Merger/Acquisition,Closed,-,Specialty Liquid Transportation Corp. (TSXV:SLT),"SNJ Capital Ltd., Asset Management Arm",IQTR558425561,Blank Checks (Primary),Acquired,10/31/2018
04/03/2018,Atlantic Acquisition Corp.,-,Merger/Acquisition,Closed,-,HF Foods Group Inc. (NasdaqCM:HFFG),"Karpus Management Inc.; Polar Asset Management Partners Inc.; Bulldog Investors, LLC; 683 Capital Management, LLC; Periscope Capital Inc; Boothbay Fund Management, LLC",IQTR558011870,Blank Checks (Primary),Acquired,08/22/2018
04/02/2018,Baetis Ventures Ltd.,-,Merger/Acquisition,Closed,-,RE Royalties Ltd. (TSXV:RE),-,IQTR557916710,Blank Checks (Primary),Acquired,11/06/2018
03/14/2018,Corporate Catalyst Acquisition Inc.,-,Merger/Acquisition,Closed,-,Globalive Technology Inc. (TSXV:LIVE),-,IQTR556094758,Blank Checks (Primary),Acquired,06/08/2018
02/28/2018,Stellar Acquisition III Inc.,-,Merger/Acquisition,Closed,-,"Phunware, Inc. (NasdaqCM:PHUN)","D. E. Shaw & Co., L.P.; Glazer Capital, LLC; K2 & Associates Investment Management Inc.; Bulldog Investors, LLC; Periscope Capital Inc; Boothbay Fund Management, LLC",IQTR554446886,Blank Checks (Primary),Acquired,12/26/2018
02/28/2018,IBKS No.3 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"KMPHARMACEUTICAL Co.,Ltd. (KOSDAQ:A225430)","KB Asset Management Co., Ltd.; KTB Asset Management Co., Ltd; Daishin Asset Management Co., Ltd.; With Investment Co., Ltd.",IQTR554757478,Blank Checks (Primary),Acquired,09/12/2018
02/27/2018,"M I Acquisitions, Inc.",-,Merger/Acquisition,Closed,-,"Priority Technology Holdings, Inc. (NasdaqCM:PRTH)","D. E. Shaw & Co., L.P.; K2 & Associates Investment Management Inc.; Bulldog Investors, LLC; Periscope Capital Inc; Boothbay Fund Management, LLC",IQTR554310075,Blank Checks (Primary),Acquired,07/25/2018
02/22/2018,Nebo Capital Corp.,-,Merger/Acquisition,Closed,-,"Quisitive Technology Solutions, Inc. (TSXV:QUIS)",-,IQTR553742585,Blank Checks (Primary),Acquired,08/08/2018
02/20/2018,Focused Capital II Corp.,-,Merger/Acquisition,Closed,-,Fortress Technologies Inc. (TSXV:FORT),-,IQTR553467518,Blank Checks (Primary),Acquired,08/16/2018
02/16/2018,The Needle Capital Corp.,-,Merger/Acquisition,Closed,-,The Flowr Corporation (TSXV:FLWR),De Courcy Asset Management Pty. Ltd.,IQTR553383225,Blank Checks (Primary),Acquired,09/20/2018
02/15/2018,Atlantic Acquisition Inc.,-,Merger/Acquisition,Closed,-,"Monster Products, Inc.",-,IQTR559333139,Blank Checks (Primary),Acquired,04/09/2018
02/06/2018,Black Birch Capital Acquisition III Corp.,-,Merger/Acquisition,Closed,-,GTEC Holdings Ltd. (TSXV:GTEC),-,IQTR551974611,Blank Checks (Primary),Acquired,06/11/2018
02/06/2018,ACME Resources Corp.,-,Merger/Acquisition,Closed,-,Rapid Dose Therapeutics Corp. (CNSX:DOSE),-,IQTR551980969,Blank Checks (Primary),Acquired,12/07/2018
01/31/2018,Revelstoke Equity Inc.,-,Merger/Acquisition,Closed,-,Zonetail Inc. (TSXV:ZONE),-,IQTR573812965,Blank Checks (Primary),Acquired,11/08/2018
01/24/2018,North Bluff Capital Corp.,-,Merger/Acquisition,Closed,-,Sun Metals Corp. (TSXV:SUNM),"Emprise Capital Corp., Investment Arm",IQTR550579560,Blank Checks (Primary),Acquired,05/02/2018
01/16/2018,Percy Street Capital Corporation,-,Merger/Acquisition,Closed,-,LiveWell Canada Inc.,-,IQTR549712709,Blank Checks (Primary),Acquired,06/19/2018
01/16/2018,Sagittarius Capital Corporation,-,Merger/Acquisition,Closed,-,Water Ways Technologies Inc. (TSXV:WWT),-,IQTR549735783,Blank Checks (Primary),Acquired,03/06/2019
01/05/2018,Kramer Capital Corp.,-,Merger/Acquisition,Closed,-,48North Cannabis Corp. (TSXV:NRTH),-,IQTR548703362,Blank Checks (Primary),Acquired,06/01/2018
01/04/2018,AIM1 Ventures Inc.,-,Merger/Acquisition,Closed,-,James E. Wagner Cultivation Corporation (TSXV:JWCA.H),"Interward Asset Management Ltd.; 2538243 Ontario Inc.; Dorylin Holdings Inc., Asset Management Arm",IQTR548510062,Blank Checks (Primary),Acquired,06/07/2018
01/03/2018,Tova Ventures II Inc.,-,Merger/Acquisition,Closed,-,Enthusiast Gaming Properties Inc.,"Dorylin Holdings Inc., Asset Management Arm; 2578218 Ontario Ltd",IQTR548373139,Blank Checks (Primary),Acquired,09/21/2018
12/22/2017,Contango Holdings PLC,-,Merger/Acquisition,Closed,-,Contango Holdings plc (LSE:CGO),-,IQTR547469240,Blank Checks (Primary),Acquired,06/18/2020
12/22/2017,Aumento Capital VI Corporation,-,Merger/Acquisition,Closed,-,CryptoStar Corp. (TSXV:CSTR),Zambian Holdings Inc.,IQTR547601098,Blank Checks (Primary),Acquired,09/26/2018
12/22/2017,Margaux Red Capital Inc.,-,Merger/Acquisition,Closed,-,Sigma Lithium Resources Corporation (TSXV:SGMA),-,IQTR547606160,Blank Checks (Primary),Acquired,04/30/2018
12/21/2017,Oriana Resources Corporation,-,Merger/Acquisition,Closed,-,Hut 8 Mining Corp. (TSX:HUT),Varshney Capital Corp; The Canadian Depository for Securities Limited,IQTR547376239,Blank Checks (Primary),Acquired,03/02/2018
12/19/2017,FinTech Acquisition Corp. II,-,Merger/Acquisition,Closed,-,"International Money Express, Inc. (NasdaqCM:IMXI)",-,IQTR547092855,Blank Checks (Primary),Acquired,07/26/2018
12/19/2017,Scorpion Resources Inc.,-,Merger/Acquisition,Closed,-,TruTrace Technologies Inc. (CNSX:TTT),-,IQTR547094626,Blank Checks (Primary),Acquired,05/17/2018
12/18/2017,Carlaw Capital V Corp.,-,Merger/Acquisition,Closed,-,Eve & Co Incorporated (TSXV:EVE),Capit Investment Corp.; Cinquedea Corp.,IQTR546940878,Blank Checks (Primary),Acquired,06/28/2018
12/08/2017,"Dongbu 3rd Special Purpose Acquisition Co., Ltd.",-,Merger/Acquisition,Closed,-,"Hansongneotech Co.,Ltd. (KOSDAQ:A226440)","KB Securities Co., Ltd.; NH Investment & Securities Co., Ltd. (KOSE:A005940); Rhinos Asset Management Co., Ltd; CY Investment Co. Ltd.; HAN & Partners Asset Management",IQTR546915763,Blank Checks,Acquired,06/28/2018
12/07/2017,Exalt Capital Corp.,-,Merger/Acquisition,Closed,-,Astron Connect Inc. (TSXV:AST),-,IQTR546000360,Blank Checks (Primary),Acquired,08/28/2018
12/04/2017,Crossroad Ventures Inc.,-,Merger/Acquisition,Closed,-,Neptune Dash Technologies Corp. (TSXV:DASH),-,IQTR545720428,Blank Checks (Primary),Acquired,01/16/2018
12/01/2017,Forum Merger Corporation,-,Merger/Acquisition,Closed,-,"ConvergeOne Holdings, Inc.","Glazer Capital, LLC; BIP GP LLC; K2 & Associates Investment Management Inc.; Polar Asset Management Partners Inc.; Bulldog Investors, LLC; CNH Partners, LLC; Hudson Bay Capital Management LP; 683 Capital Management, LLC; Periscope Capital Inc; Westchester Capital Management, LLC; Boothbay Fund Management, LLC; HGC Investment Management Inc.; Forum Investors I, LLC",IQTR545593208,Blank Checks (Primary),Acquired,02/22/2018
11/28/2017,Sherpa Holdings Corp.,-,Merger/Acquisition,Closed,-,Nubeva Technologies Ltd. (TSXV:NBVA),-,IQTR545109509,Blank Checks (Primary),Acquired,02/28/2018
11/28/2017,"National Art Exchange, Inc.",-,Merger/Acquisition,Closed,-,Superior Treasure Global Limited,-,IQTR545152329,Blank Checks (Primary),Acquired,04/06/2018
11/22/2017,Royal Lifescience Corp.,-,Merger/Acquisition,Closed,-,Rover Metals Corp. (TSXV:ROVR),-,IQTR544571271,Blank Checks (Primary),Acquired,06/26/2018
11/16/2017,"HI Special Purpose Acquisition Company III Co.,Ltd.",-,Merger/Acquisition,Closed,-,"Russell Co., Ltd. (KOSDAQ:A217500)","Daishin Asset Management Co., Ltd.; Plus A Partners Co., Ltd.",IQTR544143939,Blank Checks (Primary),Acquired,05/02/2018
11/13/2017,"Sunburst Acquisitions V, Inc.",-,Merger/Acquisition,Closed,-,"Sunburst Acquisitions V, Inc.",Onping Limited,IQTR554498516,Blank Checks (Primary),Acquired,11/13/2017
11/07/2017,Apolo Acquisition Corp.,-,Merger/Acquisition,Closed,-,CryptoGlobal Corp.,-,IQTR542907581,Blank Checks (Primary),Acquired,01/25/2018
11/02/2017,Seaside Exploration Partners Corp.,-,Merger/Acquisition,Closed,-,DelphX Capital Markets Inc. (TSXV:DELX),-,IQTR542514623,Blank Checks (Primary),Acquired,04/25/2018
10/26/2017,Adent Capital Corp.,-,Merger/Acquisition,Closed,-,Khiron Life Sciences Corp. (TSXV:KHRN),-,IQTR541812149,Blank Checks (Primary),Acquired,05/16/2018
10/06/2017,Mira IX Acquisition Corp.,-,Merger/Acquisition,Closed,-,Aphria International Inc.,JJR Capital Holdings Inc,IQTR539894444,Blank Checks (Primary),Acquired,12/29/2017
09/27/2017,Max-1 Acquisition Corporation,-,Merger/Acquisition,Closed,-,"Exicure, Inc. (NasdaqCM:XCUR)",-,IQTR538959369,Blank Checks (Primary),Acquired,09/26/2017
09/26/2017,Wings & Things Inc.,-,Merger/Acquisition,Closed,-,Wings & Things Inc.,"First Equity Holdings Corp.; VIP WorldNet, Inc",IQTR538789872,Blank Checks (Primary),Acquired,09/21/2017
09/25/2017,Avanco Capital Corp.,-,Merger/Acquisition,Closed,-,Hill Street Beverage Company Inc. (TSXV:BEER),-,IQTR538657964,Blank Checks (Primary),Acquired,07/27/2018
09/20/2017,Aim Explorations Ltd.,-,Merger/Acquisition,Closed,-,DMG Blockchain Solutions Inc. (TSXV:DMGI),-,IQTR538092754,Blank Checks (Primary),Acquired,02/08/2018
09/14/2017,Snow Eagle Resources Ltd.,-,Merger/Acquisition,Closed,-,FluroTech Ltd. (TSXV:TEST),-,IQTR537568858,Blank Checks (Primary),Acquired,05/24/2018
09/11/2017,Silver Falcon plc,-,Merger/Acquisition,Closed,-,Hemogenyx Pharmaceuticals Plc (LSE:HEMO),"Optiva Securities Limited, Asset Management Arm",IQTR537128459,Blank Checks (Primary),Acquired,10/05/2017
09/11/2017,"Eugene ACPC Special Purpose Acquisition 2 Co., Ltd.",-,Merger/Acquisition,Closed,-,Ehwa Defense Technology (KOSDAQ:A215090),"Eugene Investment & Securities Co.,Ltd. (KOSE:A001200); Alliance Capital Partners Co., Ltd.",IQTR538088934,Blank Checks (Primary),Acquired,03/06/2018
09/05/2017,Shelby Ventures Inc.,-,Merger/Acquisition,Closed,-,Solution Financial Inc. (TSXV:SFI),-,IQTR536626400,Blank Checks (Primary),Acquired,06/22/2018
08/28/2017,JM Global Holding Company,-,Merger/Acquisition,Closed,-,Code Chain New Continent Limited (NasdaqCM:CCNC),"Glazer Capital, LLC; Zhonghui Holdings Ltd.; Polar Asset Management Partners Inc.; Periscope Capital Inc",IQTR535782555,Blank Checks (Primary),Acquired,02/06/2018
08/21/2017,Double Eagle Acquisition Corp.,-,Merger/Acquisition,Closed,-,WillScot Mobile Mini Holdings Corp. (NasdaqCM:WSC),"Fir Tree Partners; Moore Capital Management, LP; TD Asset Management, Inc.; Highbridge Capital Management, LLC; Glazer Capital, LLC; Davidson Kempner Capital Management LP; Chesapeake Partners Management Co., Inc.; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Venor Capital Management LP; Alyeska Investment Group, L.P.; Capstone Investment Advisors, LLC; Arrowgrass Capital Partners LLP; Periscope Capital Inc; Governors Lane LP; Double Eagle Acquisition LLC; Rubric Capital Management LP",IQTR535028947,Blank Checks (Primary),Acquired,11/29/2017
08/16/2017,Boulevard Acquisition Corp. II,-,Merger/Acquisition,Closed,-,"Estre Ambiental, Inc. (OTCPK:ESTR.F)","Glazer Capital, LLC; Basso Capital Management, L.P.; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Castle Creek Arbitrage, LLC; Alyeska Investment Group, L.P.; Cowen Investment Management LLC; Periscope Capital Inc",IQTR534415544,Blank Checks (Primary),Acquired,12/21/2017
08/16/2017,Element 79 Capital Inc.,-,Merger/Acquisition,Closed,-,Lumiera Health Inc. (TSXV:NHP),-,IQTR534457718,Blank Checks (Primary),Acquired,11/14/2018
08/09/2017,Buffalo Capital Inc.,-,Merger/Acquisition,Closed,-,Waverley Pharma Inc. (TSXV:WAVE),-,IQTR533780357,Blank Checks (Primary),Acquired,10/24/2017
07/27/2017,Global Partner Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Purple Innovation, Inc. (NasdaqCM:PRPL)","Fir Tree Partners; Moore Capital Management, LP; Highbridge Capital Management, LLC; Deutsche Asset Management Investment GmbH; Glazer Capital, LLC; Davidson Kempner Capital Management LP; Basso Capital Management, L.P.; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Castle Creek Arbitrage, LLC; Capstone Investment Advisors, LLC; Arrowgrass Capital Partners LLP; Periscope Capital Inc; Rotation Capital Management, LP",IQTR532466568,Blank Checks (Primary),Acquired,02/02/2018
07/19/2017,Vier Capital Corp.,-,Merger/Acquisition,Closed,-,Vertex Resource Group Ltd. (TSXV:VTX),-,IQTR531360577,Blank Checks (Primary),Acquired,10/16/2017
07/06/2017,Flying Monkey Capital Corp.,-,Merger/Acquisition,Closed,-,Fabled Copper Corp. (TSXV:FCO),-,IQTR529698382,Blank Checks (Primary),Acquired,09/25/2018
06/29/2017,Hana Financial ninth Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"E&Investment, Inc.",-,IQTR528751542,Blank Checks (Primary),Acquired,06/29/2017
06/28/2017,Hana Financial ninth Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"Kiwoom Asset Management Co., Ltd.",-,IQTR528639237,Blank Checks (Primary),Acquired,06/28/2017
06/19/2017,Max-1 Acquisition Corporation,-,Merger/Acquisition,Closed,-,-,-,IQTR434745482,Blank Checks (Primary),Acquired,06/15/2017
06/12/2017,Hana Must Fourth Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"RoboRobo Co., Ltd. (KOSDAQ:A215100)","With Investment Co., Ltd.",IQTR433969968,Blank Checks (Primary),Acquired,12/01/2017
06/09/2017,"Dongbu 3rd Special Purpose Acquisition Co., Ltd.",-,Merger/Acquisition,Closed,-,HAN & Partners Asset Management,-,IQTR433667825,Blank Checks,Acquired,06/09/2017
06/07/2017,IBKS No.6 Special Acquisition Company,-,Merger/Acquisition,Closed,-,"IBK Securities Co. Ltd., Investment Arm",-,IQTR433468884,Blank Checks (Primary),Acquired,06/07/2017
06/02/2017,Harbour Star Capital Inc.,-,Merger/Acquisition,Closed,-,EastWest Bioscience Inc. (TSXV:EAST),-,IQTR536373834,Blank Checks (Primary),Acquired,07/16/2018
05/16/2017,GP Investments Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Rimini Street, Inc. (NasdaqGM:RMNI)","GP Investments, Ltd. (BOVESPA:GPIV33); TD Asset Management, Inc.; Corelle Brands Holdings Inc.; Glazer Capital, LLC; Basso Capital Management, L.P.; K2 & Associates Investment Management Inc.; Levin Capital Strategies, L.P.; Castle Creek Arbitrage, LLC; Cowen Investment Management LLC; Periscope Capital Inc; Birch Grove Capital LLC; Silver Rock Financial LP",IQTR431082900,Blank Checks (Primary),Acquired,10/10/2017
05/11/2017,KB No.11 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"KB Securities Co., Ltd., Investment Arm",-,IQTR430467715,Blank Checks (Primary),Acquired,05/11/2017
05/08/2017,HI Special Purpose Acquisition Company II,-,Merger/Acquisition,Closed,-,Humasis Co. Ltd. (KOSDAQ:A205470),"Hi Investment & Securities Co., Ltd.; Daishin Asset Management Co., Ltd.; Eugene Asset Management Co., Ltd.; NH Investment & Securities Co., Ltd., Investment Arm; Wonik Investment Partners Co., Ltd.; Seoul Investment Partners Co., Ltd.; GIG Investment Co., Ltd.; Synergy IB Investment Co., Ltd.",IQTR433877070,Blank Checks (Primary),Acquired,09/26/2017
04/28/2017,Bitumen Capital Inc.,-,Merger/Acquisition,Closed,-,Goliath Resources Limited (TSXV:GOT),Grovest Investments Inc,IQTR429353970,Blank Checks (Primary),Acquired,10/11/2017
04/21/2017,IBKSGMB Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,Sewha P&C INC. (KOSDAQ:A252500),"Shinhan Capital, Investment Arm; GMB Investment Co.,Ltd.",IQTR428411954,Blank Checks,Acquired,09/05/2017
